X,Y,Crime_type,Month
531095.999380635,181642.016819428,Theft from the person,2019-03
531028.971058468,181611.021919904,Theft from the person,2019-03
526648.973069065,187228.010903386,Theft from the person,2019-03
528270.974177972,185946.036753697,Theft from the person,2019-03
526651.011958159,185685.020707514,Theft from the person,2019-03
529052.005030183,185094.992843511,Theft from the person,2019-03
528901.024438741,185327.951694945,Theft from the person,2019-03
528901.024438741,185327.951694945,Theft from the person,2019-03
528952.022694402,185373.980274346,Theft from the person,2019-03
529112.972875926,185938.01522565,Theft from the person,2019-03
528797.965964385,185499.037085802,Theft from the person,2019-03
528979.968871944,185125.988175627,Theft from the person,2019-03
528979.968871944,185125.988175627,Theft from the person,2019-03
528251.965631788,185108.986449001,Theft from the person,2019-03
528365.019798974,185216.99994474,Theft from the person,2019-03
528583.009181709,184800.003960492,Theft from the person,2019-03
528964.992135258,184939.999016548,Theft from the person,2019-03
528907.019760934,184663.006917217,Theft from the person,2019-03
526175.979889029,185019.009030851,Theft from the person,2019-03
526571.024878231,185079.029474761,Theft from the person,2019-03
526449.019230372,184924.989790726,Theft from the person,2019-03
526471.027321218,184553.994771819,Theft from the person,2019-03
527366.968623355,185116.96733891,Theft from the person,2019-03
527366.968623355,185116.96733891,Theft from the person,2019-03
529626.003468737,185187.959106268,Theft from the person,2019-03
525535.99070158,185274.980016789,Theft from the person,2019-03
526296.00260093,184726.006054381,Theft from the person,2019-03
526105.020629863,185013.017146296,Theft from the person,2019-03
527225.974100339,184761.024595007,Theft from the person,2019-03
528118.981517687,184591.980883278,Theft from the person,2019-03
528344.994711512,184348.989557694,Theft from the person,2019-03
528344.994711512,184348.989557694,Theft from the person,2019-03
528344.994711512,184348.989557694,Theft from the person,2019-03
528344.994711512,184348.989557694,Theft from the person,2019-03
528344.994711512,184348.989557694,Theft from the person,2019-03
528344.994711512,184348.989557694,Theft from the person,2019-03
528344.994711512,184348.989557694,Theft from the person,2019-03
528344.994711512,184348.989557694,Theft from the person,2019-03
528434.970504592,184313.987764736,Theft from the person,2019-03
528344.994711512,184348.989557694,Theft from the person,2019-03
528362.980332733,184320.957774772,Theft from the person,2019-03
528344.994711512,184348.989557694,Theft from the person,2019-03
527959.016299476,184489.022503966,Theft from the person,2019-03
525148.980361566,183986.009204753,Theft from the person,2019-03
525189.999712174,184008.050949058,Theft from the person,2019-03
525189.999712174,184008.050949058,Theft from the person,2019-03
525189.999712174,184008.050949058,Theft from the person,2019-03
524748.017257647,184690.954797448,Theft from the person,2019-03
524744.009073481,184583.033445109,Theft from the person,2019-03
527507.993001926,184589.950110169,Theft from the person,2019-03
529335.976458939,184399.955858966,Theft from the person,2019-03
529702.965680274,184891.035877706,Theft from the person,2019-03
525527.998938737,184361.008330706,Theft from the person,2019-03
526587.976411261,184376.979866844,Theft from the person,2019-03
528524.024691714,184224.995530569,Theft from the person,2019-03
528660.998473659,184254.948568137,Theft from the person,2019-03
528411.020686997,184105.964450351,Theft from the person,2019-03
528684.994731207,184238.976675267,Theft from the person,2019-03
528524.024691714,184224.995530569,Theft from the person,2019-03
528524.024691714,184224.995530569,Theft from the person,2019-03
528684.994731207,184238.976675267,Theft from the person,2019-03
528102.986728718,184345.992765186,Theft from the person,2019-03
528524.024691714,184224.995530569,Theft from the person,2019-03
527924.993045866,184065.987502044,Theft from the person,2019-03
528649.978254319,184123.030169149,Theft from the person,2019-03
528649.978254319,184123.030169149,Theft from the person,2019-03
528491.004780121,183679.021099871,Theft from the person,2019-03
528649.978254319,184123.030169149,Theft from the person,2019-03
528649.978254319,184123.030169149,Theft from the person,2019-03
528649.978254319,184123.030169149,Theft from the person,2019-03
528649.978254319,184123.030169149,Theft from the person,2019-03
528649.978254319,184123.030169149,Theft from the person,2019-03
528649.978254319,184123.030169149,Theft from the person,2019-03
528649.978254319,184123.030169149,Theft from the person,2019-03
528649.978254319,184123.030169149,Theft from the person,2019-03
528980.014339304,184061.9676889,Theft from the person,2019-03
528950.991760225,184395.948560859,Theft from the person,2019-03
528983.986440837,184176.015187997,Theft from the person,2019-03
529031.989402498,184040.031652677,Theft from the person,2019-03
529031.989402498,184040.031652677,Theft from the person,2019-03
528988.991491626,183836.97325467,Theft from the person,2019-03
