lsoa11cd,gamb_dist,pubs_dist,off_dist
E01000001,0.390222222,0.180666667,0.380888889
E01000002,0.416779661,0.220508475,0.679830508
E01000003,0.397647059,0.191764706,0.421764706
E01000005,0.280384615,0.228076923,0.617051282
E01000006,0.599285714,0.611428571,0.647857143
E01000007,0.376578947,0.620789474,0.733947368
E01000008,0.83047619,1.142380952,1.297619048
E01000009,0.239259259,0.268888889,0.341111111
E01000010,0.205394737,0.588684211,1.041578947
E01000011,0.325,0.5725,0.668333333
E01000012,0.493636364,0.930454545,1.022272727
E01000013,0.388695652,0.388695652,1.659565217
E01000014,0.676363636,0.695909091,1.997272727
E01000015,0.891212121,0.78030303,1.191515152
E01000016,0.406,0.894,1.472
E01000017,0.519047619,1.035714286,1.288571429
E01000018,0.772,0.7815,1.5925
E01000019,0.607647059,1.542941176,0.877058824
E01000020,0.381111111,1.54037037,1.095555556
E01000021,0.511428571,1.735714286,1.736190476
E01000022,0.48,1.984736842,1.589473684
E01000023,0.594054054,1.612972973,2.288918919
E01000024,0.453529412,2.191176471,1.704117647
E01000025,0.535,2.252916667,2.015416667
E01000027,1.751428571,1.151142857,2.996857143
E01000028,2.613478261,2.285217391,3.989565217
E01000029,1.3456,1.2928,1.8768
E01000030,1.804642857,1.647142857,2.497142857
E01000031,0.645862069,0.535517241,1.145172414
E01000032,0.508648649,0.365405405,0.761891892
E01000033,0.706875,0.55,1.62
E01000034,0.838846154,0.531153846,1.881153846
E01000035,0.390322581,0.346774194,0.874516129
E01000036,0.588823529,0.284705882,0.522352941
E01000037,0.822352941,0.922941176,2.549411765
E01000038,0.521923077,0.611538462,2.181153846
E01000039,1.230952381,1.284761905,2.776666667
E01000040,0.7672,1.6364,1.456
E01000041,0.700526316,2.516315789,3.142105263
E01000042,0.724285714,1.66,2.116857143
E01000043,0.963809524,1.878571429,1.684761905
E01000044,0.83,1.6855,1.336
E01000045,0.390689655,2.450344828,2.726896552
E01000046,0.808181818,2.294090909,3.165909091
E01000048,0.590384615,1.024615385,0.755
E01000049,0.806296296,1.204074074,1.085925926
E01000050,0.2804,0.9624,0.5276
E01000051,0.306153846,0.633076923,0.792307692
E01000052,0.721666667,1.576333333,0.915666667
E01000053,0.446666667,0.400952381,0.421428571
E01000054,0.526315789,1.308947368,1.549473684
E01000055,0.592272727,1.921363636,2.401363636
E01000056,0.809047619,0.883333333,0.87047619
E01000057,0.342666667,1.802666667,2.633333333
E01000058,0.572105263,1.07,2.044210526
E01000059,0.610555556,0.712777778,1.109444444
E01000060,0.707027027,0.868918919,1.008378378
E01000061,0.914166667,0.607083333,1.048333333
E01000062,0.602068966,1.096206897,1.509655172
E01000063,0.4045,0.9055,0.4565
E01000064,0.735,0.842,1.472333333
E01000065,0.420882353,1.288823529,0.604705882
E01000066,1.0944,1.3584,2.3632
E01000067,0.666315789,0.811052632,1.815263158
E01000068,0.7535,0.7815,0.99
E01000069,0.418181818,0.84,1.845454545
E01000070,0.341333333,0.388333333,1.171666667
E01000071,0.449393939,1.052121212,2.055757576
E01000072,0.324074074,2.906666667,2.648888889
E01000073,0.609,2.5845,2.3455
E01000074,0.846111111,2.664444444,2.022777778
E01000075,0.635,2.126666667,2.287083333
E01000076,0.617142857,2.837619048,2.562857143
E01000077,0.487826087,2.093913043,1.382608696
E01000078,0.358,1.772,0.9565
E01000079,0.862173913,0.934347826,1.695652174
E01000080,0.624782609,1.730869565,1.423043478
E01000081,0.789444444,1.555,0.992222222
E01000082,0.3635,1.4515,0.3985
E01000083,0.287142857,1.604761905,1.24952381
E01000084,0.301875,0.415,1.269375
E01000085,0.250526316,0.31,1.151052632
E01000086,0.454117647,0.497058824,0.817647059
E01000087,0.81952381,0.531904762,0.992857143
E01000088,0.684782609,0.675652174,1.189565217
E01000089,1.497857143,1.04,1.811428571
E01000090,1.921,1.128,1.9265
E01000091,0.743076923,1.562307692,2.527692308
E01000092,1.846136364,2.323863636,2.399090909
E01000093,0.635416667,2.18875,1.915416667
E01000094,1.469189189,1.35972973,3.49
E01000095,1.96675,1.53225,2.5635
E01000096,0.856538462,1.902307692,2.916153846
E01000097,0.6335,0.873,0.819
E01000098,0.348076923,1.073461538,0.695769231
E01000099,0.71725,0.85725,1.1305
E01000100,0.365263158,0.405263158,0.968421053
E01000101,0.286818182,0.516363636,0.676363636
E01000102,0.322857143,1.113809524,1.048571429
E01000103,1.205925926,1.354074074,1.035925926
E01000104,0.8996,1.0732,0.7604
E01000105,0.440526316,0.575,1.423947368
E01000106,0.947777778,1.094722222,1.153611111
E01000107,0.928888889,1.076111111,0.781666667
E01000108,0.422,0.6116,0.3292
E01000109,0.5154,0.515971429,0.856171429
E01000110,0.559130435,0.490434783,1.339130435
E01000111,0.788076923,0.720769231,0.766538462
E01000112,0.310625,0.275625,0.8490625
E01000113,0.2612,0.3732,0.3472
E01000114,0.742121212,0.680606061,0.358484848
E01000115,0.906111111,0.786111111,2.329722222
E01000116,0.836333333,0.555,1.799666667
E01000117,0.7221875,0.7221875,1.340625
E01000118,0.744137931,0.692413793,1.641724138
E01000119,0.714,0.598666667,2.67
E01000120,0.5975,0.339166667,2.423333333
E01000121,1.264285714,1.155,2.102857143
E01000122,1.165172414,0.945862069,2.300344828
E01000123,1.230740741,1.13537037,2.306111111
E01000124,0.785555556,0.743611111,1.808888889
E01000125,0.652352941,0.65627451,0.40745098
E01000126,1.402413793,0.820689655,1.385517241
E01000127,0.473043478,0.969565217,0.473043478
E01000128,0.583571429,0.775714286,0.621071429
E01000129,0.252,0.414666667,0.299555556
E01000130,1.0404,0.9532,0.9844
E01000131,0.78,0.841724138,1.055862069
E01000132,0.35875,1.1728125,0.35875
E01000133,0.77483871,0.942903226,0.77483871
E01000134,0.76826087,0.982391304,0.737826087
E01000135,0.622941176,0.894411765,1.838823529
E01000136,0.567021277,0.711276596,1.78212766
E01000137,0.401153846,1.247307692,1.469615385
E01000138,0.882608696,1.230434783,1.090434783
E01000139,0.599767442,1.188604651,1.032790698
E01000140,0.24195122,1.213414634,1.36097561
E01000141,0.23,0.241041667,0.332708333
E01000142,0.765277778,0.812222222,0.630555556
E01000143,0.624827586,0.67862069,0.49862069
E01000144,0.412391304,0.491304348,1.431086957
E01000145,0.575151515,0.873939394,1.816969697
E01000146,0.193333333,0.36547619,1.781666667
E01000147,0.477272727,0.477272727,0.386666667
E01000148,0.83375,0.52875,0.919285714
E01000150,0.648888889,0.598055556,0.846944444
E01000151,2.103902439,0.755609756,1.29
E01000152,1.464,1.147777778,0.644666667
